pair_id,id_a,fname_a,lname_a,dob_a,g_a,race_a,add_a,phone_a,state_a,zip_code_a,email_a,type_a,file_id_a,cntfn_a,cntln_a,same_a,id_b,fname_b,lname_b,dob_b,g_b,race_b,add_b,phone_b,state_b,zip_code_b,email_b,type_b,file_id_b,cntfn_b,cntln_b,same_b
108,1000013651,claretta,adams,1945-10-31,f,b,q@gmail.com,77840,tx,6636500439,adams,1,a17,6,6,0,1000013651,claretta,adams,1945-10-31,f,b,q@gmail.com,77840,tx,6636500439,adams,1,b17,6,6,0
109,1000013651,claretta,adams,1946-10-31,f,b,p@gmail.com,77840,tx,9796542356,adams,1,a16,6,6,0,1000013651,claretta,adams,1946-10-31,f,b,p@gmail.com,77840,tx,9796542356,adams,1,b16,6,6,0
110,1000001971,jean ewart,abernathy,1930-08-27,f,w,i@gmail.com,77064,ca,9796542356,gorge bush,1,a9,5,5,0,1000001971,jean ewart,abernathy,1930-08-27,m,w,l@gmail.com,77064,ca,9796542356,gorge bush,1,a12,5,5,0
111,1000001971,jean ewart,abernathy,1930-08-27,f,w,i@gmail.com,77064,ca,9796542356,gorge bush,1,a9,5,5,0,1000001976,jean ewart,abernathy,1930-08-27,f,b,m@gmail.com,77064,ca,9796542356,gorge bush,1,a13,5,5,0
112,1000001971,jean ewart,abernathy,1930-08-27,f,w,i@gmail.com,77064,ca,9796542356,gorge bush,1,a9,5,5,0,1000001971,jean ewart,abernathy,1930-08-27,f,w,i@gmail.com,77064,ca,9796542356,gorge bush,1,b9,5,5,0
113,1000001971,jean ewart,abernathy,1930-08-27,f,w,i@gmail.com,77064,ca,9796542356,gorge bush,1,a9,5,5,0,1000001971,jean ewart,abernathy,1930-08-27,m,w,l@gmail.com,77064,ca,9796542356,gorge bush,1,b12,5,5,0
114,1000001971,jean ewart,abernathy,1930-08-27,f,w,i@gmail.com,77064,ca,9796542356,gorge bush,1,a9,5,5,0,1000001976,jean ewart,abernathy,1930-08-27,f,b,m@gmail.com,77064,ca,9796542356,gorge bush,1,b13,5,5,0
115,1000001972,jean ewart,abernathy,1930-08-28,f,w,j@gmail.com,77064,ca,9796542356,gorge bush,1,a10,5,5,0,1000001972,jean ewart,abernathy,1930-08-28,f,w,k@gmail.com,77064,ca,9796542356,gorge bush,1,a11,5,5,0
116,1000001972,jean ewart,abernathy,1930-08-28,f,w,j@gmail.com,77064,ca,9796542356,gorge bush,1,a10,5,5,0,1000001972,jean ewart,abernathy,1930-08-28,f,w,j@gmail.com,77064,ca,9796542356,gorge bush,1,b10,5,5,0
117,1000001972,jean ewart,abernathy,1930-08-28,f,w,j@gmail.com,77064,ca,9796542356,gorge bush,1,a10,5,5,0,1000001972,jean ewart,abernathy,1930-08-28,f,w,k@gmail.com,77064,ca,9796542356,gorge bush,1,b11,5,5,0
118,1000000657,lynn,wilding,1946-07-01,m,w,e@gmail.com,77843,ny,9791233445,jean ewart,1,a5,8,8,0,1000000657,lynn,wilding,1946-07-01,m,w,e@gmail.com,77843,ny,9791233445,jean ewart,1,b5,8,8,0
119,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,m,w,a@gmail.com,77845,tx,2188765432,amab,1,a1,8,8,0
120,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,f,w,f@gmail.com,77840,ny,2188765432,lynn i,1,a6,8,8,0
121,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,m,b,g@gmail.com,77840,ny,9798898889,jean ewart,1,a7,8,8,0
122,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,m,b,h@gmail.com,77840,ny,9798888889,wilding,1,a8,8,8,0
123,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,m,w,a@gmail.com,77845,tx,2188765432,amab,1,b1,8,8,0
124,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,b2,8,8,0
125,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,f,w,f@gmail.com,77840,ny,2188765432,lynn i,1,b6,8,8,0
126,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,m,b,g@gmail.com,77840,ny,9798898889,jean ewart,1,b7,8,8,0
127,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,m,b,h@gmail.com,77840,ny,9798888889,wilding,1,b8,8,8,0
128,1000000623,lynn,wilding,1946-07-05,m,w,c@gmail.com,77843,tx,2188765432,james,1,a3,8,8,0,1000000623,lynn,wilding,1946-07-05,m,w,d@gmail.com,77843,tx,9796542356,paul,1,a4,8,8,0
129,1000000623,lynn,wilding,1946-07-05,m,w,c@gmail.com,77843,tx,2188765432,james,1,a3,8,8,0,1000000623,lynn,wilding,1946-07-05,m,w,c@gmail.com,77843,tx,2188765432,james,1,b3,8,8,0
130,1000000623,lynn,wilding,1946-07-05,m,w,c@gmail.com,77843,tx,2188765432,james,1,a3,8,8,0,1000000623,lynn,wilding,1946-07-05,m,w,d@gmail.com,77843,tx,9796542356,paul,1,b4,8,8,0
201,1000001971,jean ewart,abernathy,1930-08-27,f,w,i@gmail.com,77064,ca,9796542356,gorge bush,1,a9,5,5,0,1000001971,jean ewart,abernathy,1930-08-27,m,w,l@gmail.com,77064,ca,9796542356,gorge bush,1,a12,5,5,0
202,1000001971,jean ewart,abernathy,1930-08-27,f,w,i@gmail.com,77064,ca,9796542356,gorge bush,1,a9,5,5,0,1000001976,jean ewart,abernathy,1930-08-27,f,b,m@gmail.com,77064,ca,9796542356,gorge bush,1,a13,5,5,0
203,1000001971,jean ewart,abernathy,1930-08-27,f,w,i@gmail.com,77064,ca,9796542356,gorge bush,1,a9,5,5,0,1000001971,jean ewart,abernathy,1930-08-27,f,w,i@gmail.com,77064,ca,9796542356,gorge bush,1,b9,5,5,0
204,1000001971,jean ewart,abernathy,1930-08-27,f,w,i@gmail.com,77064,ca,9796542356,gorge bush,1,a9,5,5,0,1000001971,jean ewart,abernathy,1930-08-27,m,w,l@gmail.com,77064,ca,9796542356,gorge bush,1,b12,5,5,0
205,1000001971,jean ewart,abernathy,1930-08-27,f,w,i@gmail.com,77064,ca,9796542356,gorge bush,1,a9,5,5,0,1000001976,jean ewart,abernathy,1930-08-27,f,b,m@gmail.com,77064,ca,9796542356,gorge bush,1,b13,5,5,0
206,1000001972,jean ewart,abernathy,1930-08-28,f,w,j@gmail.com,77064,ca,9796542356,gorge bush,1,a10,5,5,0,1000001972,jean ewart,abernathy,1930-08-28,f,w,k@gmail.com,77064,ca,9796542356,gorge bush,1,a11,5,5,0
207,1000001972,jean ewart,abernathy,1930-08-28,f,w,j@gmail.com,77064,ca,9796542356,gorge bush,1,a10,5,5,0,1000001972,jean ewart,abernathy,1930-08-28,f,w,j@gmail.com,77064,ca,9796542356,gorge bush,1,b10,5,5,0
208,1000001972,jean ewart,abernathy,1930-08-28,f,w,j@gmail.com,77064,ca,9796542356,gorge bush,1,a10,5,5,0,1000001972,jean ewart,abernathy,1930-08-28,f,w,k@gmail.com,77064,ca,9796542356,gorge bush,1,b11,5,5,0
209,1000013651,claretta,adams,1944-10-31,f,b,n@gmail.com,77840,tx,9796542356,adams,1,a14,6,6,0,1000013655,claretta,adams,1944-10-31,f,b,o@gmail.com,77840,tx,9796542356,adams,1,a15,6,6,0
210,1000013651,claretta,adams,1944-10-31,f,b,n@gmail.com,77840,tx,9796542356,adams,1,a14,6,6,0,1000013651,claretta,adams,1944-10-31,m,b,r@gmail.com,77064,tx,6636500439,adams,1,a18,6,6,0
211,1000013651,claretta,adams,1944-10-31,f,b,n@gmail.com,77840,tx,9796542356,adams,1,a14,6,6,0,1000013651,claretta,adams,1944-10-31,f,w,s@gmail.com,77064,tx,6636500439,adams,1,a19,6,6,0
212,1000013651,claretta,adams,1944-10-31,f,b,n@gmail.com,77840,tx,9796542356,adams,1,a14,6,6,0,1000013651,claretta,adams,1944-10-31,f,b,n@gmail.com,77840,tx,9796542356,adams,1,b14,6,6,0
213,1000013651,claretta,adams,1944-10-31,f,b,n@gmail.com,77840,tx,9796542356,adams,1,a14,6,6,0,1000013655,claretta,adams,1944-10-31,f,b,o@gmail.com,77840,tx,9796542356,adams,1,b15,6,6,0
214,1000013651,claretta,adams,1944-10-31,f,b,n@gmail.com,77840,tx,9796542356,adams,1,a14,6,6,0,1000013651,claretta,adams,1944-10-31,m,b,r@gmail.com,77064,tx,6636500439,adams,1,b18,6,6,0
215,1000013651,claretta,adams,1944-10-31,f,b,n@gmail.com,77840,tx,9796542356,adams,1,a14,6,6,0,1000013651,claretta,adams,1944-10-31,f,w,s@gmail.com,77064,tx,6636500439,adams,1,b19,6,6,0
216,1000013651,claretta,adams,1945-10-31,f,b,q@gmail.com,77840,tx,6636500439,adams,1,a17,6,6,0,1000013651,claretta,adams,1945-10-31,f,b,q@gmail.com,77840,tx,6636500439,adams,1,b17,6,6,0
217,1000013651,claretta,adams,1946-10-31,f,b,p@gmail.com,77840,tx,9796542356,adams,1,a16,6,6,0,1000013651,claretta,adams,1946-10-31,f,b,p@gmail.com,77840,tx,9796542356,adams,1,b16,6,6,0
218,1000000657,lynn,wilding,1946-07-01,m,w,e@gmail.com,77843,ny,9791233445,jean ewart,1,a5,8,8,0,1000000657,lynn,wilding,1946-07-01,m,w,e@gmail.com,77843,ny,9791233445,jean ewart,1,b5,8,8,0
219,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,m,w,a@gmail.com,77845,tx,2188765432,amab,1,a1,8,8,0
220,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,f,w,f@gmail.com,77840,ny,2188765432,lynn i,1,a6,8,8,0
221,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,m,b,g@gmail.com,77840,ny,9798898889,jean ewart,1,a7,8,8,0
222,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,m,b,h@gmail.com,77840,ny,9798888889,wilding,1,a8,8,8,0
223,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,m,w,a@gmail.com,77845,tx,2188765432,amab,1,b1,8,8,0
224,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,b2,8,8,0
225,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,f,w,f@gmail.com,77840,ny,2188765432,lynn i,1,b6,8,8,0
226,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,m,b,g@gmail.com,77840,ny,9798898889,jean ewart,1,b7,8,8,0
227,1000000657,lynn,wilding,1946-07-04,m,w,b@gmail.com,77840,tx,2188765432,amaa,1,a2,8,8,0,1000000657,lynn,wilding,1946-07-04,m,b,h@gmail.com,77840,ny,9798888889,wilding,1,b8,8,8,0
228,1000000623,lynn,wilding,1946-07-05,m,w,c@gmail.com,77843,tx,2188765432,james,1,a3,8,8,0,1000000623,lynn,wilding,1946-07-05,m,w,d@gmail.com,77843,tx,9796542356,paul,1,a4,8,8,0
229,1000000623,lynn,wilding,1946-07-05,m,w,c@gmail.com,77843,tx,2188765432,james,1,a3,8,8,0,1000000623,lynn,wilding,1946-07-05,m,w,c@gmail.com,77843,tx,2188765432,james,1,b3,8,8,0
230,1000000623,lynn,wilding,1946-07-05,m,w,c@gmail.com,77843,tx,2188765432,james,1,a3,8,8,0,1000000623,lynn,wilding,1946-07-05,m,w,d@gmail.com,77843,tx,9796542356,paul,1,b4,8,8,0
